date_time_IST,x_axis,y_axis,z_axis,x_gyro,y_gyro,z_gyro,acc,gyro
2022-09-18 21:26:36,0.88572,-0.0815,1.84171,-0.00855,0.00122,0.00733,2.045247636,2.045261135
2022-09-18 21:26:37,0.89694,-0.08735,1.83146,-0.00855,0.00122,0.00733,2.041170526,2.041184052
2022-09-18 21:24:28,0.88962,-0.08247,1.84659,-0.00855,0.00122,0.00611,2.051370194,2.051379656
2022-09-18 21:24:29,0.88084,-0.08491,1.84025,-0.00855,0,0.00611,2.041962016,2.041971158
2022-09-18 21:24:33,0.88914,-0.08198,1.83781,-0.00977,-0.00122,0.00733,2.043241605,2.043255117
2022-09-18 21:24:34,0.9028,-0.07515,1.83732,-0.00977,0.00367,0.00733,2.048521453,2.048537855
2022-09-18 21:24:47,0.89304,-0.08784,1.84708,-0.011,0,0.00733,2.053519134,2.053532216
2022-09-18 21:24:49,0.89597,-0.08052,1.84122,-0.00977,0.00122,0.00855,2.049228342,2.049246542
2022-09-18 21:24:51,0.90329,-0.08882,1.84366,-0.00977,0.00244,0.00611,2.054970562,2.054981094
2022-09-18 21:24:53,0.88718,-0.08589,1.84464,-0.00855,0,0.00733,2.048697678,2.04871079
2022-09-18 21:24:58,0.89548,-0.07662,1.83927,-0.00977,0,0.00611,2.047112402,2.047121521
2022-09-18 21:25:00,0.88767,-0.08589,1.8422,-0.00855,0,0.00733,2.046713454,2.046726579
2022-09-18 21:25:02,0.8989,-0.07369,1.83976,-0.00977,0,0.00611,2.048943211,2.048952322
2022-09-18 21:25:03,0.89499,-0.08442,1.84708,-0.00977,0,0.00855,2.054224516,2.054242309
2022-09-18 21:25:16,0.89743,-0.08442,1.84318,-0.00977,0.00244,0.00733,2.051784553,2.051799097
2022-09-18 21:25:18,0.8906,-0.08833,1.85294,-0.00977,0.00122,0.00611,2.057755377,2.05776481
2022-09-18 21:25:24,0.89011,-0.0854,1.84757,-0.00977,0,0.00733,2.052584682,2.05259777
